Address,Price,Bathrooms,Bedrooms,Area,Property Type
"Gulberg 2, Lahore",1.9 Crore,1,1,183 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",9.25 Crore,6,7,20 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.7 Crore,5,5,7 marla,residential
"DHA Phase 2, Islamabad",9 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",3.3 Crore,5,5,7 marla,residential
"Bahria Enclave, Islamabad",70 Lac,0,0,491 sqft,commercial
"Anarkali, Lahore",3.5 Crore,0,0,96 sqft,commercial
"Bahria Town Phase 8, Sector C, Rawalpindi",4.9 Crore,5,6,10 marla,residential
"F-7, Islamabad",1.15 Arab,0,4,16 marla,commercial
"Phase 8, Bahria Town, Sector G, Rawalpindi",3.9 Crore,5,6,10 marla,residential
"DHA Phase 3, Islamabad",5.2 Crore,5,6,10 marla,residential
"DHA Phase 2, Islamabad",10 Crore,5,5,1 kanal,residential
"DHA Homes, Islamabad",75 Lac,2,2,5 marla,residential
"Bahria Town Phase 7, Rawalpindi",80 Lac,0,0,380 sqft,commercial
"Anarkali, Lahore",1 Crore,0,0,500 sqft,commercial
"Phase 8, Bahria Town, Sector M, Rawalpindi",2.3 Crore,4,4,8 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.5 Crore,5,5,7 marla,residential
"TopCity-1 , Islamabad",40 Lac,Studio,1,520 sqft,commercial
"Airport Housing Society, Sector 4, Rawalpindi",3 Crore,6,6,8 marla,residential
"Bani Gala, Islamabad",1.6 Crore,3,3,5 marla,residential
"Airport Housing Society, Sector 4, Rawalpindi",1.2 Crore,3,3,5 marla,residential
"Faisal Margalla City, Islamabad",61 Lac,0,0,179 sqft,commercial
"Adyala Road, Rawalpindi",62 Lac,0,0,122 sqft,commercial
"Faisal Margalla City, Islamabad",49 Lac,0,0,170 sqft,commercial
"Bahria Town - Sector E , Lahore",1.96 Crore,4,5,5 marla,residential
"Gulshan Abad, Rawalpindi",1.7 Crore,3,3,10 marla,residential
"Adyala Road, Rawalpindi",85 Lac,0,0,99 sqft,commercial
"G-7, Islamabad",65 Crore,0,0,7 marla,commercial
"Phase 8, Bahria Town, Sector A, , Rawalpindi",4.8 Crore,5,6,10 marla,residential
"Adyala Road, Rawalpindi",52 Lac,0,0,92 sqft,commercial
"Bahria Town Phase 4, Islamabad",4 Crore,5,6,10 marla,residential
"Adyala Road, Rawalpindi",45 Lac,0,0,89 sqft,commercial
"Green Villas, Rawalpindi",3 Crore,6,6,10 marla,residential
"DHA Phase 2, Islamabad",8.5 Crore,5,5,1 kanal,residential
"Ghauri Town Phase 4-A, Islamabad",3.44 Crore,0,0,430 sqft,commercial
"Phase 8, Bahria Town, Sector A, , Rawalpindi",4.75 Crore,5,6,10 marla,residential
"LDA Avenue Phase 1, Lahore",3.25 Crore,5,6,10 marla,residential
"DHA Phase 5, Lahore",16.25 Crore,0,0,4 marla,commercial
"Adyala Road, Rawalpindi",78 Lac,0,0,1.25 marla,commercial
"Jail Road, Lahore",2.44 Crore,Studio,1,813 sqft,commercial
"Soan Garden, Islamabad",3.7 Crore,5,6,10 marla,residential
"DHA Phase 2, Islamabad",8.3 Crore,5,5,1 kanal,residential
"Bahria Town - Sector E , Lahore",45000,1,1,400 sqft,residential
"Bahria Town Phase 8, Rawalpindi",8.5 Crore,5,5,1 kanal,residential
"Samarzar Housing Society, Rawalpindi",65 Lac,2,2,4 marla,residential
"Johar Town, Lahore",2.5 Crore,5,5,5 marla,residential
"Adyala Road, Rawalpindi",36 Lac,0,0,68 sqft,commercial
"Adyala Road, Rawalpindi",90 Lac,0,0,103 sqft,commercial
"Adyala Road, Rawalpindi",58 Lac,0,0,130 sqft,commercial
"DHA Phase 4, Lahore",6.7 Crore,5,5,1 kanal,residential
"Bani Gala, Islamabad",3.5 Crore,6,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.8 Crore,5,5,10 marla,residential
"Bahria Town - Sector A, Lahore",4.85 Crore,4,5,10 marla,residential
"Gulberg, Lahore",27 Crore,0,0,11 marla,commercial
"DHA Phase 8, Lahore",5.97 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.65 Crore,0,0,510 sqft,commercial
"Bahria Town Phase 8-Khalid Block, Rawalpindi",4.15 Crore,5,6,10 marla,residential
"Wapda Town Phase 1, Lahore",2.35 Crore,5,5,5 marla,residential
"Bahria Town Phase 8, Sector H, Rawalpindi",4.25 Crore,5,6,10 marla,residential
"Bahria Enclave, Sector B1, Islamabad",2.2 Crore,3,3,5 marla,residential
"DHA Phase 1, Lahore",1.5 Lac,2,3,1 kanal,residential
"DHA Phase 2, Islamabad",10.5 Crore,5,5,1 kanal,residential
"Mall Road, Lahore",4 Crore,0,0,2 marla,commercial
"Bahria Town Phase 7, Rawalpindi",9 Crore,6,7,20 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.75 Crore,5,5,7 marla,residential
"Park View City, Lahore",2 Crore,4,5,5 marla,residential
"Adyala Road, Rawalpindi",30 Lac,0,0,56 sqft,commercial
